ts_iso,iteration,chain_id,block_number,wallet_eth_wei,usdc_balance_raw,weth_balance_raw,usdc_allowance_raw,weth_allowance_raw,current_tick,drift_ticks,proposed_tick_lower,proposed_tick_upper,current_tick_inside_new_range,fresh_approval_required,any_stop_condition_active,gas_price_wei,market_safe_for_execution_candidate
2026-06-02T19:44:19Z,1,8453,46820056,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200828,-385,-201028,-200628,True,True,True,14018528,False
2026-06-02T19:54:21Z,2,8453,46820357,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200761,-318,-200961,-200561,True,True,True,6000000,False
2026-06-02T20:04:24Z,3,8453,46820659,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200771,-328,-200971,-200571,True,True,True,6000000,False
2026-06-02T20:14:29Z,4,8453,46820961,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200764,-321,-200964,-200564,True,True,True,6000000,False
2026-06-02T20:24:31Z,5,8453,46821262,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200831,-388,-201031,-200631,True,True,True,6000000,False
2026-06-02T20:34:35Z,6,8453,46821585,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200830,-387,-201030,-200630,True,True,True,6000000,False
2026-06-02T20:45:19Z,7,8453,46821886,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200832,-389,-201032,-200632,True,True,True,6000000,False
2026-06-02T20:55:22Z,8,8453,46822208,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200790,-347,-200990,-200590,True,True,True,6000000,False
2026-06-02T21:06:07Z,9,8453,46822510,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200783,-340,-200983,-200583,True,True,True,6005468,False
2026-06-02T21:16:11Z,10,8453,46822812,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200806,-363,-201006,-200606,True,True,True,6000073,False
2026-06-02T21:26:13Z,11,8453,46823128,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200791,-348,-200991,-200591,True,True,True,6000000,False
2026-06-02T21:36:45Z,12,8453,46823429,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200793,-350,-200993,-200593,True,True,True,6000000,False
2026-06-02T21:46:46Z,13,8453,46823758,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200819,-376,-201019,-200619,True,True,True,6000000,False
2026-06-02T21:57:46Z,14,8453,46824065,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200825,-382,-201025,-200625,True,True,True,6000000,False
2026-06-02T22:07:59Z,15,8453,46824366,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200845,-402,-201045,-200645,True,True,True,6000000,False
2026-06-02T22:18:05Z,16,8453,46824669,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200928,-485,-201128,-200728,True,True,True,6000000,False
2026-06-02T22:28:08Z,17,8453,46824976,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200801,-358,-201001,-200601,True,True,True,6000000,False
2026-06-02T22:38:23Z,18,8453,46825284,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200857,-414,-201057,-200657,True,True,True,6000000,False
2026-06-02T22:48:35Z,19,8453,46825590,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200936,-493,-201136,-200736,True,True,True,6258760,False
2026-06-02T22:58:50Z,20,8453,46825897,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201016,-573,-201216,-200816,True,True,True,6364353,False
2026-06-02T23:09:04Z,21,8453,46826199,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200989,-546,-201189,-200789,True,True,True,6000000,False
2026-06-02T23:19:07Z,22,8453,46826506,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201047,-604,-201247,-200847,True,True,True,6000000,False
2026-06-02T23:29:21Z,23,8453,46826807,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201107,-664,-201307,-200907,True,True,True,13338943,False
2026-06-02T23:39:26Z,24,8453,46827115,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201095,-652,-201295,-200895,True,True,True,6000000,False
2026-06-02T23:49:40Z,25,8453,46827422,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201044,-601,-201244,-200844,True,True,True,6000000,False
2026-06-02T23:59:54Z,26,8453,46827729,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201045,-602,-201245,-200845,True,True,True,6000000,False
2026-06-03T00:10:10Z,27,8453,46828037,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201033,-590,-201233,-200833,True,True,True,6000000,False
2026-06-03T00:20:24Z,28,8453,46828340,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200979,-536,-201179,-200779,True,True,True,6000000,False
2026-06-03T00:30:30Z,29,8453,46828641,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201033,-590,-201233,-200833,True,True,True,6000000,False
2026-06-03T00:40:33Z,30,8453,46828943,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-200991,-548,-201191,-200791,True,True,True,6000000,False
