run_id,pool_id,token_pair,chain,protocol,pool_type,fee_tier,quote_method,quote_side,virtual_notional_usd,token_in,token_in_symbol,token_out,token_out_symbol,token_in_decimals,token_usd_anchor_source,token_usd_anchor_price,amount_in_token,amount_in_raw,amount_in_raw_valid,amount_out_raw,amount_out_usd,estimated_slippage_pct,estimated_price_impact_pct,sqrt_price_x96_after,initialized_ticks_crossed,gas_estimate,quote_block_number,quote_ts,quote_success,confidence,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at,staticcall_variant,selector,calldata_hash,revert_data_len,revert_decoded,error_type
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token0_to_token1,20,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0x55d398326f99059fF775485246999027B3197955,USDT,18,slot0_pool_anchor:0x1401ff943D08a7E098328C1d3a9d388923B115D2:WBNB/USDT | slot0_pool_anchor:0x172fcD41E0913e95784454622d1c3724f546f849:WBNB/USDT | slot0_pool_anchor:0x18C5aFFA481e7EDbF37405AdE553827d6387899f:WBNB/USDC | slot0_pool_anchor:0x36696169C63e42cd08ce11f5deeBbCeBae652050:WBNB/USDT | slot0_pool_anchor:0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06:WBNB/USDT | slot0_pool_anchor:0x81A9b5F18179cE2bf8f001b8a634Db80771F1824:WBNB/USDC | slot0_pool_anchor:0xc721dECCD986D54B39e8c29428A1f06155c3671e:WBNB/USDC | slot0_pool_anchor:0xf2688Fb5B81049DFB7703aDa5e770543770612C4:WBNB/USDC,685.6397874332431,0.02916983577465928,29169835774659281,yes,20004263926152911513,13715.719266085975,0.0,,3025266348791654977717714670,1,92237,101731063,1780335548,yes,high,,yes,no,1780335548,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x208e2db42fa0cd89827491b96c1993a5b67eee23e7257cf63de42c641707b56a,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token0_to_token1,100,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0x55d398326f99059fF775485246999027B3197955,USDT,18,slot0_pool_anchor:0x1401ff943D08a7E098328C1d3a9d388923B115D2:WBNB/USDT | slot0_pool_anchor:0x172fcD41E0913e95784454622d1c3724f546f849:WBNB/USDT | slot0_pool_anchor:0x18C5aFFA481e7EDbF37405AdE553827d6387899f:WBNB/USDC | slot0_pool_anchor:0x36696169C63e42cd08ce11f5deeBbCeBae652050:WBNB/USDT | slot0_pool_anchor:0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06:WBNB/USDT | slot0_pool_anchor:0x81A9b5F18179cE2bf8f001b8a634Db80771F1824:WBNB/USDC | slot0_pool_anchor:0xc721dECCD986D54B39e8c29428A1f06155c3671e:WBNB/USDC | slot0_pool_anchor:0xf2688Fb5B81049DFB7703aDa5e770543770612C4:WBNB/USDC,685.6397874332431,0.1458491788732964,145849178873296408,yes,100021561854297522108,68578.76240852154,0.0,,3025263925706859590764966806,1,92237,101731063,1780335549,yes,high,,yes,no,1780335549,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x807c4a1610cd6bc94ad991116b8229f13693e158cc6cf9f5ca155239790be426,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token0_to_token1,500,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0x55d398326f99059fF775485246999027B3197955,USDT,18,slot0_pool_anchor:0x1401ff943D08a7E098328C1d3a9d388923B115D2:WBNB/USDT | slot0_pool_anchor:0x172fcD41E0913e95784454622d1c3724f546f849:WBNB/USDT | slot0_pool_anchor:0x18C5aFFA481e7EDbF37405AdE553827d6387899f:WBNB/USDC | slot0_pool_anchor:0x36696169C63e42cd08ce11f5deeBbCeBae652050:WBNB/USDT | slot0_pool_anchor:0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06:WBNB/USDT | slot0_pool_anchor:0x81A9b5F18179cE2bf8f001b8a634Db80771F1824:WBNB/USDC | slot0_pool_anchor:0xc721dECCD986D54B39e8c29428A1f06155c3671e:WBNB/USDC | slot0_pool_anchor:0xf2688Fb5B81049DFB7703aDa5e770543770612C4:WBNB/USDC,685.6397874332431,0.729245894366482,729245894366482043,yes,500106371020073155553,342892.82592021354,0.0,,3025274476277369011057918240,1,91215,101731063,1780335549,yes,high,,yes,no,1780335549,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x11f2f3ed0145766b712e2c3c8a337005a3adbc41ba575bd8cddcd1cd245de3f3,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token0_to_token1,1000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0x55d398326f99059fF775485246999027B3197955,USDT,18,slot0_pool_anchor:0x1401ff943D08a7E098328C1d3a9d388923B115D2:WBNB/USDT | slot0_pool_anchor:0x172fcD41E0913e95784454622d1c3724f546f849:WBNB/USDT | slot0_pool_anchor:0x18C5aFFA481e7EDbF37405AdE553827d6387899f:WBNB/USDC | slot0_pool_anchor:0x36696169C63e42cd08ce11f5deeBbCeBae652050:WBNB/USDT | slot0_pool_anchor:0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06:WBNB/USDT | slot0_pool_anchor:0x81A9b5F18179cE2bf8f001b8a634Db80771F1824:WBNB/USDC | slot0_pool_anchor:0xc721dECCD986D54B39e8c29428A1f06155c3671e:WBNB/USDC | slot0_pool_anchor:0xf2688Fb5B81049DFB7703aDa5e770543770612C4:WBNB/USDC,685.6397874332431,1.458491788732964,1458491788732964086,yes,1000221760166051087886,685791.8350263556,0.0,,3025268588684781460501373267,1,139071,101731063,1780335549,yes,medium,,yes,no,1780335549,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x2ec93ac1d2287b78a987ed8f2f2649576a64c617d80f2083a504218da50a6e4f,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token0_to_token1,2000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0x55d398326f99059fF775485246999027B3197955,USDT,18,slot0_pool_anchor:0x1401ff943D08a7E098328C1d3a9d388923B115D2:WBNB/USDT | slot0_pool_anchor:0x172fcD41E0913e95784454622d1c3724f546f849:WBNB/USDT | slot0_pool_anchor:0x18C5aFFA481e7EDbF37405AdE553827d6387899f:WBNB/USDC | slot0_pool_anchor:0x36696169C63e42cd08ce11f5deeBbCeBae652050:WBNB/USDT | slot0_pool_anchor:0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06:WBNB/USDT | slot0_pool_anchor:0x81A9b5F18179cE2bf8f001b8a634Db80771F1824:WBNB/USDC | slot0_pool_anchor:0xc721dECCD986D54B39e8c29428A1f06155c3671e:WBNB/USDC | slot0_pool_anchor:0xf2688Fb5B81049DFB7703aDa5e770543770612C4:WBNB/USDC,685.6397874332431,2.916983577465928,2916983577465928172,yes,2000418604511212108892,1371566.5867745723,0.0,,3025302929972166200672181035,1,144459,101731063,1780335550,yes,medium,,yes,no,1780335550,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x401ace8e14ca3c1c86772f0ca4036c1cdf227de88b81cb75f1514a43e9171562,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token1_to_token0,20,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18,stable_anchor,1.0,20.0,20000000000000000000,yes,29157504134029417,0.029157504134029417,99.85421247932986,,3025251118405171307700261403,1,92724,101731063,1780335550,yes,high,,yes,no,1780335550,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x4f40f155bf23faeb872d248202bf9889e4fe2abfe4e9840baa488b8d206aac76,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token1_to_token0,100,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18,stable_anchor,1.0,100.0,100000000000000000000,yes,145793867099084824,0.14579386709908482,99.85420613290091,,3025315725632376096806866998,1,91721,101731063,1780335551,yes,high,,yes,no,1780335551,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0xacb6f3e7410a89f811043588c76896bff59bbc36277045d212e6bdf78f3401db,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token1_to_token0,500,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18,stable_anchor,1.0,500.0,500000000000000000000,yes,729112105234949912,0.72911210523495,99.85417757895301,,3025605769137659521974321204,1,92715,101731063,1780335551,yes,high,,yes,no,1780335551,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x56ce7ea523dd815c8eec63da4392d300eeba779635da95655f938e83876c33e7,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token1_to_token0,1000,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18,stable_anchor,1.0,1000.0,1000000000000000000000,yes,1458216741948074838,1.458216741948075,99.8541783258052,,3025590273027693463763563721,1,92715,101731063,1780335552,yes,medium,,yes,no,1780335552,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0xb990b631d0be9c5c5da7ac20ea1bb98815ac95ea3048916b8c61fe12e62ad522,0,,
20260601_173837,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,quoter_v2_staticcall,token1_to_token0,2000,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,18,stable_anchor,1.0,2000.0,2000000000000000000000,yes,2916386661240777997,2.916386661240778,99.85418066693796,,3025550488367412041130748259,1,145889,101731063,1780335552,yes,medium,,yes,no,1780335552,"quoteExactInputSingle((address,address,uint256,uint24,uint160))",0xc6a5026a,0x42a284ca197015520ecdbeaed985eefc464f8e0e28b40550f0a85a72ed540a08,0,,
