pool_id,token_pair,fee_tier_raw,notional_usd,hold_window,scenario,fee_proxy_usd,fixed_cost_usd,il_lvr_proxy_usd,net_ev_proxy_usd,net_ev_proxy_pct,capacity_ok,data_sufficient,confidence
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,15m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.09513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,15m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.08561926847823238,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,15m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.09513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,15m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.10464577258450625,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,15m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.01902650410627386,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,15m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.017123853695646476,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,15m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.01902650410627386,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,15m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.02092915451690125,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,15m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0038053008212547723,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,15m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.0034247707391292957,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,15m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0038053008212547723,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,15m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.00418583090338025,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,15m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0019026504106273861,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,15m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.0017123853695646478,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,15m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0019026504106273861,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,15m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.002092915451690125,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,15m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0009513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,15m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.0008561926847823239,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,15m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0009513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,15m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.0010464577258450624,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,30m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.09513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,30m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.08561926847823238,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,30m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.09513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,30m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.10464577258450625,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,30m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.01902650410627386,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,30m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.017123853695646476,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,30m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.01902650410627386,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,100,30m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.02092915451690125,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,30m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0038053008212547723,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,30m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.0034247707391292957,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,30m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0038053008212547723,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,500,30m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.00418583090338025,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,30m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0019026504106273861,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,30m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.0017123853695646478,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,30m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0019026504106273861,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,1000,30m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.002092915451690125,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,30m,zero_il_lvr,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0009513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,30m,optimistic,0.0,0.01902650410627386,0.0,-0.017123853695646476,-0.0008561926847823239,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,30m,realistic,0.0,0.01902650410627386,0.0,-0.01902650410627386,-0.0009513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,2000,30m,conservative,0.0,0.01902650410627386,0.0,-0.02092915451690125,-0.0010464577258450624,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,1h,zero_il_lvr,0.0,0.01902650410627386,0.0008333333333333334,-0.01902650410627386,-0.09513252053136931,yes,yes,high
0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,100,20,1h,optimistic,0.0,0.01902650410627386,0.0008333333333333334,-0.017123853695646476,-0.08561926847823238,yes,yes,high
