pool_id,token_pair,notional_usd,scenario,gas_price_gwei,gas_price_usd,quote_gas_units,quote_gas_usd,add_gas_units,remove_gas_units,collect_gas_units,approval_gas_units,entry_conversion_cost_usd,exit_conversion_cost_usd,collect_cost_usd,approval_cost_usd,total_fixed_cost_usd,proportional_slippage_cost_usd,future_probe_only_component_count,cost_model_ready,cost_confidence
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,20,diagnostic_low,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,180000,150000,70000,45000,0.0061707580868991885,0.005142298405749324,0.002399739256016351,0.0015426895217247971,0.015255485276072725,0.0,4,yes,low
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,diagnostic_low,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,180000,150000,70000,45000,0.0061707580868991885,0.005142298405749324,0.002399739256016351,0.0015426895217247971,0.015255485276072725,0.0,4,yes,low
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,500,diagnostic_low,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,180000,150000,70000,45000,0.0061707580868991885,0.005142298405749324,0.002399739256016351,0.0015426895217247971,0.015255485276072725,0.0,4,yes,low
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,1000,diagnostic_low,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,180000,150000,70000,45000,0.0061707580868991885,0.005142298405749324,0.002399739256016351,0.0015426895217247971,0.015255485276072725,0.0,4,yes,low
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,2000,diagnostic_low,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,180000,150000,70000,45000,0.0061707580868991885,0.005142298405749324,0.002399739256016351,0.0015426895217247971,0.015255485276072725,0.0,4,yes,low
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,20,realistic_mid,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,220000,190000,95000,50000,0.007542037661765675,0.00651357798061581,0.003256788990307905,0.0017140994685831078,0.01902650410695556,0.0,4,yes,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,realistic_mid,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,220000,190000,95000,50000,0.007542037661765675,0.00651357798061581,0.003256788990307905,0.0017140994685831078,0.01902650410695556,0.0,4,yes,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,500,realistic_mid,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,220000,190000,95000,50000,0.007542037661765675,0.00651357798061581,0.003256788990307905,0.0017140994685831078,0.01902650410695556,0.0,4,yes,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,1000,realistic_mid,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,220000,190000,95000,50000,0.007542037661765675,0.00651357798061581,0.003256788990307905,0.0017140994685831078,0.01902650410695556,0.0,4,yes,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,2000,realistic_mid,0.05,3.428198937166216e-08,165774.0,5.683062506097923e-12,220000,190000,95000,50000,0.007542037661765675,0.00651357798061581,0.003256788990307905,0.0017140994685831078,0.01902650410695556,0.0,4,yes,medium
