run_id,pool_id,token_pair,chain,protocol,pool_type,fee_tier,quote_method,quote_side,virtual_notional_usd,input_token,output_token,amount_in_raw,amount_out_raw,amount_in_usd,amount_out_usd,estimated_slippage_pct,estimated_price_impact_pct,sqrt_price_x96_after,initialized_ticks_crossed,gas_estimate,quote_block_number,quote_ts,quote_success,confidence,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token0_to_token1,20,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,85363108909795020280037618449762316762991361757905000000000000000000000000000000,20000000000000000000,20,20.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token0_to_token1,100,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,426815544548975101400188092248811583814956808789530000000000000000000000000000000,100000000000000000000,100,100.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token0_to_token1,500,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2134077722744875507000940461244057919074784043947600000000000000000000000000000000,499999999999999999999,500,500.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token0_to_token1,1000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,4268155445489751014001880922488115838149568087895300000000000000000000000000000000,1000000000000000000000,1000,1000.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token0_to_token1,2000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,8536310890979502028003761844976231676299136175790500000000000000000000000000000000,2000000000000000000000,2000,2000.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token1_to_token0,20,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,20000000000000000000,85363108909795020280037618449762316762991361757905000000000000000000000000000000,20,20.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token1_to_token0,100,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,100000000000000000000,426815544548975101400188092248811583814956808789530000000000000000000000000000000,100,100.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token1_to_token0,500,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,500000000000000000000,2134077722744875507000940461244057919074784043947600000000000000000000000000000000,500,500.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token1_to_token0,1000,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,1000000000000000000000,4268155445489751014001880922488115838149568087895300000000000000000000000000000000,1000,1000.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x172fcD41E0913e95784454622d1c3724f546f849,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,100,pool_math_fallback,token1_to_token0,2000,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,2000000000000000000000,8536310890979502028003761844976231676299136175790500000000000000000000000000000000,2000,2000.0,0.0,0.0,,,,101721811,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token0_to_token1,20,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,85363108909795020280037618449762316762991361757905000000000000000000000000000000,20000000000000000000,20,20.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token0_to_token1,100,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,426815544548975101400188092248811583814956808789530000000000000000000000000000000,100000000000000000000,100,100.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token0_to_token1,500,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2134077722744875507000940461244057919074784043947600000000000000000000000000000000,499999999999999999999,500,500.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token0_to_token1,1000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,4268155445489751014001880922488115838149568087895300000000000000000000000000000000,1000000000000000000000,1000,1000.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token0_to_token1,2000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,8536310890979502028003761844976231676299136175790500000000000000000000000000000000,2000000000000000000000,2000,2000.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token1_to_token0,20,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,20000000000000000000,85363108909795020280037618449762316762991361757905000000000000000000000000000000,20,20.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token1_to_token0,100,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,100000000000000000000,426815544548975101400188092248811583814956808789530000000000000000000000000000000,100,100.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token1_to_token0,500,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,500000000000000000000,2134077722744875507000940461244057919074784043947600000000000000000000000000000000,500,500.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token1_to_token0,1000,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,1000000000000000000000,4268155445489751014001880922488115838149568087895300000000000000000000000000000000,1000,1000.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x36696169C63e42cd08ce11f5deeBbCeBae652050,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,500,pool_math_fallback,token1_to_token0,2000,0x55d398326f99059fF775485246999027B3197955,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,2000000000000000000000,8536310890979502028003761844976231676299136175790500000000000000000000000000000000,2000,2000.0,0.0,0.0,,,,101721816,1780331378,yes,low,staticcall_failed:RuntimeError,yes,no,1780331378
20260602_235959,0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,2500,pool_math_fallback,token0_to_token1,20,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,85363108909795020280037618449762316762991361757905000000000000000000000000000000,20000000000000000000,20,20.0,0.0,0.0,,,,101721822,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,2500,pool_math_fallback,token0_to_token1,100,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,426815544548975101400188092248811583814956808789530000000000000000000000000000000,100000000000000000000,100,100.0,0.0,0.0,,,,101721822,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,2500,pool_math_fallback,token0_to_token1,500,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,2134077722744875507000940461244057919074784043947600000000000000000000000000000000,499999999999999999999,500,500.0,0.0,0.0,,,,101721822,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
20260602_235959,0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,BSC,PancakeSwap V3,concentrated_liquidity,2500,pool_math_fallback,token0_to_token1,1000,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x55d398326f99059fF775485246999027B3197955,4268155445489751014001880922488115838149568087895300000000000000000000000000000000,1000000000000000000000,1000,1000.0,0.0,0.0,,,,101721822,1780331378,yes,low,staticcall_failed:ValueOutOfBounds,yes,no,1780331378
