rank,chain,protocol,pool_address,token_pair,selected,reject_reason,ev_proxy_usd_per_day,ev_proxy_confidence
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
,solana,meteora_dlmm,<smoke_pool_meteora_dlmm_a>,?,false,no_quote_ready,0.0,low
,solana,orca_whirlpool,<smoke_pool_orca_whirlpool_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_clmm,<smoke_pool_raydium_clmm_a>,?,false,no_quote_ready,0.0,low
,solana,raydium_cpmm,<smoke_pool_raydium_cpmm_a>,?,false,no_quote_ready,0.0,low
,solana,solana_stable,<smoke_pool_solana_stable_a>,?,false,no_quote_ready,0.0,low
