pool_id,virtual_notional_usd,prior_slippage_pct,precise_slippage_pct,prior_capacity_pass,precise_capacity_pass,prior_confidence,precise_confidence,delta_slippage,delta_capacity,direction
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,20,0.034999999999999996,99.99980939238101,yes,yes,high,high,99.96480939238101,same,worse
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,100,0.20555831504040337,99.99980938962247,yes,yes,high,high,99.79425107458206,same,worse
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,500,1.2072634537785634,99.9998093918293,yes,yes,low,high,98.79254593805074,same,worse
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1000,2.5878258640995497,99.99980936065789,no,yes,low,medium,97.41198349655835,improved,worse
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,2000,5.5471261736139,99.99980936155443,no,yes,low,medium,94.45268318794052,improved,worse
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,20,0.034999999999999996,0.185095,yes,yes,high,high,0.150095,same,worse
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,100,0.20555831504040337,0.185216,yes,yes,high,high,-0.020342315040403375,same,same
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,500,1.2072634537785634,0.1858182,yes,yes,low,high,-1.0214452537785634,same,improved
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1000,2.5878258640995497,0.2127106,no,yes,low,medium,-2.37511526409955,improved,improved
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2000,5.5471261736139,0.2142174,no,yes,low,medium,-5.3329087736139,improved,improved
0x4e962bb3889bf030368f56810a9c96b83cb3e778,20,0.034999999999999996,99.99980925445445,yes,yes,high,high,99.96480925445445,same,worse
0x4e962bb3889bf030368f56810a9c96b83cb3e778,100,0.20555831504040337,99.99980925169591,yes,yes,high,high,99.7942509366555,same,worse
0x4e962bb3889bf030368f56810a9c96b83cb3e778,500,1.2072634537785634,99.99980925445445,yes,yes,low,high,98.79254580067588,same,worse
