pool_id,token_pair,source_verdict,v2_research_verdict,risk_score,fee_apr_estimate,volume_to_tvl,tvl_usd,vol24h_usd,buyers_24h,sellers_24h,buy_count_24h,sell_count_24h,volume_cv_5m,median_abs_price_move_5m,holder_concentration,estimated_exit_depth_usd,risk_flags,why_kept_or_rejected,reclassification,reclass_reason
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,REJECT,20,16.5915538943245345,15.1521040130817746,29294.6034,443874.877738779,0,0,0,0,0,0,0,,market_quality_incomplete,v1_batch_reject_freeze,REJECT,existing_reject_or_v1_batch_reject
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,WATCH,SHADOW_ONLY,20,14.9780999204263485,5.8622700275641218,238543.2792,1398405.11593102,0,0,0,0,0,0,0,,market_quality_incomplete,raw_metrics_promising_but_market_quality_incomplete;trader_counts_missing;buyer_seller_missing,WATCH_DATA_MISSING,missing_trader_or_exit_depth
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,WATCH,20,5.495262002747164,1.5055512336293618,561712.8146,845687.420966451,0,0,0,0,0,0,0,,market_quality_incomplete,market_quality_incomplete;trader_counts_missing;buyer_seller_missing,WATCH_DATA_MISSING,missing_trader_or_exit_depth
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,WATCH,20,3.965825399492376,3.6217583557008137,271596.5645,983657.12685751,0,0,0,0,0,0,0,,market_quality_incomplete,market_quality_incomplete;trader_counts_missing;buyer_seller_missing,WATCH_DATA_MISSING,missing_trader_or_exit_depth
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,WATCH,REJECT,20,3.3741654885263015,3.0814296698870434,983099.0953,3029350.72069653,0,0,0,0,0,0,0,,market_quality_incomplete,v1_batch_reject_freeze,REJECT,existing_reject_or_v1_batch_reject
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,REJECT,20,1.2977876459362995,7.1111651832126381,418551.8985,2976391.68798075,0,0,0,0,0,0,0,,market_quality_incomplete,v1_batch_reject_freeze,REJECT,existing_reject_or_v1_batch_reject
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,WATCH,WATCH,20,1.153937972008756,6.3229477918287956,351877.0707,2224900.34717775,0,0,0,0,0,0,0,,market_quality_incomplete,market_quality_incomplete;trader_counts_missing;buyer_seller_missing,WATCH_DATA_MISSING,missing_trader_or_exit_depth
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,REJECT,20,0.8830335902874225,4.8385402207530577,249462.728,1207035.44300678,0,0,0,0,0,0,0,,market_quality_incomplete,v1_batch_reject_freeze,REJECT,existing_reject_or_v1_batch_reject
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,WATCH,WATCH,20,0.684399889394676,3.750136380244855,511305.4839,1917465.29659209,0,0,0,0,0,0,0,,market_quality_incomplete,market_quality_incomplete;trader_counts_missing;buyer_seller_missing,WATCH_DATA_MISSING,missing_trader_or_exit_depth
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,WATCH,WATCH,20,0.626077524276804,3.4305617768591356,211038.167,723979.469168615,0,0,0,0,0,0,0,,market_quality_incomplete,market_quality_incomplete;trader_counts_missing;buyer_seller_missing,WATCH_DATA_MISSING,missing_trader_or_exit_depth
